run,freq_Hz,period_s,idd_A,,,,
321,6.29E+06,1.59E-07,0.000125847,,,,
322,6.60E+06,1.51E-07,0.000131155,,,,
323,6.18E+06,1.62E-07,0.000129639,,,,
324,4.18E+06,2.39E-07,0.000128341,,,,
325,4.20E+06,2.38E-07,0.000127353,,,,
326,5.31E+06,1.88E-07,0.000122176,,,,
327,6.22E+06,1.61E-07,0.000125703,,,,
328,5.45E+06,1.84E-07,0.000121995,,,,
329,5.79E+06,1.73E-07,0.000126101,,,,
330,7.00E+06,1.43E-07,0.000130478,,,,
331,6.13E+06,1.63E-07,0.000124153,,,,
332,6.07E+06,1.65E-07,0.000126682,,,,
333,5.88E+06,1.70E-07,0.000128636,,,,
334,6.26E+06,1.60E-07,0.000134169,,,,
335,6.23E+06,1.61E-07,0.000133709,,,,
336,,,,,0,0,0
337,5.85E+06,1.71E-07,0.000130001,,,,
338,5.48E+06,1.82E-07,0.000124934,,,,
339,5.27E+06,1.90E-07,0.000128113,,,,
340,6.00E+06,1.67E-07,0.00012788,,,,
341,6.70E+06,1.49E-07,0.000130886,,,,
342,5.78E+06,1.73E-07,0.000126328,,,,
343,6.47E+06,1.55E-07,0.000130203,,,,
344,5.59E+06,1.79E-07,0.000129448,,,,
345,5.43E+06,1.84E-07,0.000127682,,,,
346,6.19E+06,1.62E-07,0.000126477,,,,
347,4.84E+06,2.07E-07,0.000125267,,,,
348,5.88E+06,1.70E-07,0.000132612,,,,
349,5.35E+06,1.87E-07,0.000126073,,,,
350,6.37E+06,1.57E-07,0.000127009,,,,
351,5.74E+06,1.74E-07,0.000128323,,,,
352,6.05E+06,1.65E-07,0.000133593,,,,
353,5.48E+06,1.82E-07,0.000128916,,,,
354,6.31E+06,1.59E-07,0.000120969,,,,
355,6.17E+06,1.62E-07,0.000130655,,,,
356,5.62E+06,1.78E-07,0.000126801,,,,
357,6.79E+06,1.47E-07,0.000142344,,,,
358,5.92E+06,1.69E-07,0.000132628,,,,
359,6.26E+06,1.60E-07,0.000122814,,,,
360,5.90E+06,1.69E-07,0.000126636,,,,
361,5.55E+06,1.80E-07,0.000130049,,,,
362,4.98E+06,2.01E-07,0.000126058,,,,
363,5.67E+06,1.76E-07,0.000127434,,,,
364,5.89E+06,1.70E-07,0.000130915,,,,
365,5.91E+06,1.69E-07,0.000129178,,,,
366,5.78E+06,1.73E-07,0.000125564,,,,
367,5.03E+06,1.99E-07,0.000124712,,,,
368,6.05E+06,1.65E-07,0.00012316,,,,
369,5.92E+06,1.69E-07,0.000133296,,,,
370,,,,,0,0,0
371,5.77E+06,1.73E-07,0.000133441,,,,
372,5.17E+06,1.93E-07,0.00011833,,,,
373,6.33E+06,1.58E-07,0.000134294,,,,
374,6.48E+06,1.54E-07,0.000125008,,,,
375,5.03E+06,1.99E-07,0.00013465,,,,
376,5.70E+06,1.75E-07,0.000127017,,,,
377,5.68E+06,1.76E-07,0.000125499,,,,
378,5.90E+06,1.69E-07,0.000130738,,,,
379,5.32E+06,1.88E-07,0.000125169,,,,
380,6.59E+06,1.52E-07,0.00013013,,,,
381,6.06E+06,1.65E-07,0.00012819,,,,
382,5.64E+06,1.77E-07,0.000125096,,,,
383,5.56E+06,1.80E-07,0.000129958,,,,
384,5.59E+06,1.79E-07,0.000129024,,,,
385,5.18E+06,1.93E-07,0.000128301,,,,
386,6.63E+06,1.51E-07,0.000122817,,,,
387,6.31E+06,1.58E-07,0.000134482,,,,
388,5.86E+06,1.71E-07,0.000123282,,,,
389,6.71E+06,1.49E-07,0.000133977,,,,
390,6.54E+06,1.53E-07,0.000125423,,,,
391,5.90E+06,1.70E-07,0.000124995,,,,
392,6.50E+06,1.54E-07,0.000129333,,,,
393,5.98E+06,1.67E-07,0.000132758,,,,
394,6.62E+06,1.51E-07,0.000133525,,,,
395,6.30E+06,1.59E-07,0.000120765,,,,
396,6.78E+06,1.47E-07,0.00013715,,,,
397,6.28E+06,1.59E-07,0.000133049,,,,
398,5.36E+06,1.87E-07,0.000126791,,,,
399,5.96E+06,1.68E-07,0.000131105,,,,
400,5.73E+06,1.74E-07,0.000133054,,,,
401,6.01E+06,1.66E-07,0.000130575,,,,
402,5.95E+06,1.68E-07,0.000127652,,,,
403,5.38E+06,1.86E-07,0.000133303,,,,
404,5.65E+06,1.77E-07,0.000134483,,,,
405,5.13E+06,1.95E-07,0.00012623,,,,
406,6.01E+06,1.66E-07,0.00012594,,,,
407,6.37E+06,1.57E-07,0.000131733,,,,
408,5.99E+06,1.67E-07,0.000127811,,,,
409,6.31E+06,1.59E-07,0.000133554,,,,
410,5.83E+06,1.72E-07,0.000125411,,,,
411,6.45E+06,1.55E-07,0.000123794,,,,
412,6.02E+06,1.66E-07,0.00012627,,,,
413,4.45E+06,2.25E-07,0.000131084,,,,
414,6.51E+06,1.54E-07,3.30E-05,,,,
415,6.11E+06,1.64E-07,0.000127652,,,,
416,6.91E+06,1.45E-07,0.000128871,,,,
417,5.30E+06,1.89E-07,0.000127313,,,,
418,5.42E+06,1.85E-07,0.000132212,,,,
419,5.56E+06,1.80E-07,0.000125253,,,,
420,5.73E+06,1.74E-07,0.000126246,,,,
421,5.57E+06,1.80E-07,0.000124601,,,,
422,5.28E+06,1.89E-07,0.000130078,,,,
423,3.84E+06,2.60E-07,0.000131041,,,,
424,6.25E+06,1.60E-07,0.000128114,,,,
425,6.45E+06,1.55E-07,0.000133251,,,,
426,5.91E+06,1.69E-07,0.000125355,,,,
427,6.25E+06,1.60E-07,0.000130403,,,,
428,5.16E+06,1.94E-07,0.000125339,,,,
429,5.20E+06,1.92E-07,0.000133431,,,,
430,5.05E+06,1.98E-07,0.000129738,,,,
431,,,,,0,0,0
432,5.36E+06,1.87E-07,0.000127723,,,,
433,5.79E+06,1.73E-07,0.000127884,,,,
434,6.17E+06,1.62E-07,0.000127069,,,,
435,5.49E+06,1.82E-07,0.00012953,,,,
