run,freq_Hz,period_s,idd_A
275,6.75E+06,1.48E-07,3.24E-05
276,5.84E+06,1.71E-07,2.95E-05
277,6.23E+06,1.61E-07,2.91E-05
278,4.44E+06,2.25E-07,3.01E-05
279,6.13E+06,1.63E-07,2.89E-05
280,5.94E+06,1.68E-07,3.02E-05
281,4.79E+06,2.09E-07,2.89E-05
282,5.36E+06,1.86E-07,2.92E-05
283,6.01E+06,1.66E-07,3.19E-05
284,6.31E+06,1.58E-07,3.24E-05
285,5.48E+06,1.82E-07,3.41E-05
286,6.50E+06,1.54E-07,3.22E-05
287,5.74E+06,1.74E-07,3.09E-05
288,5.85E+06,1.71E-07,2.80E-05
289,6.13E+06,1.63E-07,3.00E-05
290,5.72E+06,1.75E-07,3.36E-05
291,6.28E+06,1.59E-07,3.30E-05
292,5.82E+06,1.72E-07,2.95E-05
293,5.74E+06,1.74E-07,2.83E-05
294,6.09E+06,1.64E-07,3.22E-05
295,5.84E+06,1.71E-07,3.23E-05
296,6.40E+06,1.56E-07,2.95E-05
297,6.10E+06,1.64E-07,3.20E-05
298,5.82E+06,1.72E-07,2.94E-05
299,6.43E+06,1.55E-07,3.28E-05
300,5.66E+06,1.77E-07,3.03E-05
301,6.19E+06,1.62E-07,2.99E-05
302,6.26E+06,1.60E-07,3.07E-05
303,6.71E+06,1.49E-07,3.11E-05
304,5.99E+06,1.67E-07,2.90E-05
305,5.81E+06,1.72E-07,3.01E-05
306,5.30E+06,1.89E-07,2.71E-05
307,5.99E+06,1.67E-07,2.98E-05
308,6.01E+06,1.66E-07,3.02E-05
309,5.80E+06,1.73E-07,2.91E-05
310,5.47E+06,1.83E-07,3.13E-05
311,6.53E+06,1.53E-07,3.17E-05
312,5.73E+06,1.75E-07,3.03E-05
313,5.80E+06,1.72E-07,3.03E-05
314,5.86E+06,1.71E-07,2.98E-05
315,6.19E+06,1.61E-07,3.25E-05
316,6.13E+06,1.63E-07,2.97E-05
317,5.66E+06,1.77E-07,2.83E-05
318,5.90E+06,1.70E-07,2.92E-05
319,5.96E+06,1.68E-07,3.05E-05
320,5.82E+06,1.72E-07,3.33E-05
321,5.92E+06,1.69E-07,2.93E-05
322,6.23E+06,1.61E-07,3.04E-05
323,6.10E+06,1.64E-07,2.80E-05
324,5.63E+06,1.78E-07,3.00E-05
325,5.74E+06,1.74E-07,2.96E-05
326,6.09E+06,1.64E-07,2.90E-05
327,6.67E+06,1.50E-07,3.42E-05
328,6.57E+06,1.52E-07,3.31E-05
329,5.89E+06,1.70E-07,2.98E-05
330,5.99E+06,1.67E-07,3.45E-05
331,7.15E+06,1.40E-07,3.02E-05
332,6.52E+06,1.53E-07,3.10E-05
333,5.47E+06,1.83E-07,3.05E-05
334,6.19E+06,1.61E-07,2.91E-05
335,5.24E+06,1.91E-07,3.12E-05
336,5.45E+06,1.83E-07,3.14E-05
